Region;Federal District;Date;Cases;Deaths
St. Petersburg;Northwestern Federal District;30.05.2020;365;13
Saratov region;Volga Federal District;30.05.2020;96;
Sakhalin Oblast;Far Eastern Federal District;30.05.2020;7;
Sverdlovsk region;Ural federal district;30.05.2020;261;1
Sevastopol;Southern Federal District;30.05.2020;;
Smolensk region;Central Federal District;30.05.2020;95;4
Stavropol region;North Caucasus Federal District;30.05.2020;84;1
Tambov Region;Central Federal District;30.05.2020;71;
Tver region;Central Federal District;30.05.2020;43;
Tomsk region;Siberian Federal District;30.05.2020;22;
Tula region;Central Federal District;30.05.2020;107;3
Tyumen region;Ural federal district;30.05.2020;28;1
Udmurtia;Volga Federal District;30.05.2020;24;
Ulyanovsk region;Volga Federal District;30.05.2020;98;
Khabarovsk region;Far Eastern Federal District;30.05.2020;59;
Khanty-Mansi Autonomous Okrug;Ural federal district;30.05.2020;167;1
Chelyabinsk region;Ural federal district;30.05.2020;150;1
Chechen Republic;North Caucasus Federal District;30.05.2020;17;
Chukotka Autonomous Okrug;Far Eastern Federal District;30.05.2020;5;
Yamal-Nenets Autonomous Okrug;Ural federal district;30.05.2020;30;
Yaroslavskaya oblast;Central Federal District;30.05.2020;79;
Altai region;Siberian Federal District;31.05.2020;69;
Amur region;Far Eastern Federal District;31.05.2020;20;
Arhangelsk region;Northwestern Federal District;31.05.2020;137;
Astrakhan region;Southern Federal District;31.05.2020;59;
Belgorod region;Central Federal District;31.05.2020;87;
Bryansk region;Central Federal District;31.05.2020;107;
Vladimir region;Central Federal District;31.05.2020;59;
Volgograd region;Southern Federal District;31.05.2020;158;1
Vologda Region;Northwestern Federal District;31.05.2020;47;
Voronezh region;Central Federal District;31.05.2020;82;
Jewish Autonomous Region;Far Eastern Federal District;31.05.2020;10;
Zabaykalsky Krai;Far Eastern Federal District;31.05.2020;45;1
Ivanovo region;Central Federal District;31.05.2020;77;
Irkutsk region;Siberian Federal District;31.05.2020;90;
Kabardino-Balkarian Republic;North Caucasus Federal District;31.05.2020;77;1
Kaliningrad region;Northwestern Federal District;31.05.2020;48;
Kaluga region;Central Federal District;31.05.2020;89;
Kamchatka Krai;Far Eastern Federal District;31.05.2020;44;
Karachay-Cherkess Republic;North Caucasus Federal District;31.05.2020;62;
Kemerovo region;Siberian Federal District;31.05.2020;25;
Kirov region;Volga Federal District;31.05.2020;54;2
Kostroma region;Central Federal District;31.05.2020;39;
Krasnodar region;Southern Federal District;31.05.2020;80;1
Krasnoyarsk region;Siberian Federal District;31.05.2020;128;
Kurgan region;Ural federal district;31.05.2020;13;
Kursk region;Central Federal District;31.05.2020;78;3
Leningrad region;Northwestern Federal District;31.05.2020;54;
Lipetsk region;Central Federal District;31.05.2020;75;2
Magadan Region;Far Eastern Federal District;31.05.2020;5;
Moscow;Central Federal District;31.05.2020;2595;69
Moscow region;Central Federal District;31.05.2020;757;25
Murmansk region;Northwestern Federal District;31.05.2020;41;
Nenets Autonomous Okrug;Northwestern Federal District;31.05.2020;1;
Nizhny Novgorod Region;Volga Federal District;31.05.2020;301;5
Novgorod region;Northwestern Federal District;31.05.2020;51;
Novosibirsk region;Siberian Federal District;31.05.2020;104;
Omsk region;Siberian Federal District;31.05.2020;69;
Orenburg region;Volga Federal District;31.05.2020;54;
Oryol Region;Central Federal District;31.05.2020;75;1
Penza region;Volga Federal District;31.05.2020;87;
Perm region;Volga Federal District;31.05.2020;57;
Primorsky Krai;Far Eastern Federal District;31.05.2020;52;
Pskov region;Northwestern Federal District;31.05.2020;59;
Republic of Adygea;Southern Federal District;31.05.2020;41;
Altai Republic;Siberian Federal District;31.05.2020;6;
Republic of Bashkortostan;Volga Federal District;31.05.2020;75;
Republic of Buryatia;Far Eastern Federal District;31.05.2020;29;
Republic of Dagestan;North Caucasus Federal District;31.05.2020;125;9
Republic of Ingushetia;North Caucasus Federal District;31.05.2020;39;
Republic of Kalmykia;Southern Federal District;31.05.2020;35;1
Republic of Karelia;Northwestern Federal District;31.05.2020;23;
Komi Republic;Northwestern Federal District;31.05.2020;29;1
Republic of Crimea;Southern Federal District;31.05.2020;6;
Mari El Republic;Volga Federal District;31.05.2020;41;
The Republic of Mordovia;Volga Federal District;31.05.2020;35;
The Republic of Sakha (Yakutia);Far Eastern Federal District;31.05.2020;111;
Republic of North Ossetia - Alania;North Caucasus Federal District;31.05.2020;50;
Republic of Tatarstan;Volga Federal District;31.05.2020;52;
Tyva Republic;Siberian Federal District;31.05.2020;58;
The Republic of Khakassia;Siberian Federal District;31.05.2020;24;
Chuvash Republic;Volga Federal District;31.05.2020;87;
Rostov region;Southern Federal District;31.05.2020;178;
Ryazan Oblast;Central Federal District;31.05.2020;76;
Samara Region;Volga Federal District;31.05.2020;85;
St. Petersburg;Northwestern Federal District;31.05.2020;369;13
Saratov region;Volga Federal District;31.05.2020;142;
Sakhalin Oblast;Far Eastern Federal District;31.05.2020;14;
Sverdlovsk region;Ural federal district;31.05.2020;265;1
Sevastopol;Southern Federal District;31.05.2020;;
Smolensk region;Central Federal District;31.05.2020;88;2
Stavropol region;North Caucasus Federal District;31.05.2020;81;
Tambov Region;Central Federal District;31.05.2020;67;
Tver region;Central Federal District;31.05.2020;44;
Tomsk region;Siberian Federal District;31.05.2020;21;
Tula region;Central Federal District;31.05.2020;104;
Tyumen region;Ural federal district;31.05.2020;30;
Udmurtia;Volga Federal District;31.05.2020;23;
Ulyanovsk region;Volga Federal District;31.05.2020;97;
Khabarovsk region;Far Eastern Federal District;31.05.2020;63;
Khanty-Mansi Autonomous Okrug;Ural federal district;31.05.2020;136;
Chelyabinsk region;Ural federal district;31.05.2020;136;
Chechen Republic;North Caucasus Federal District;31.05.2020;18;
Chukotka Autonomous Okrug;Far Eastern Federal District;31.05.2020;2;
Yamal-Nenets Autonomous Okrug;Ural federal district;31.05.2020;65;
Yaroslavskaya oblast;Central Federal District;31.05.2020;77;
Altai region;Siberian Federal District;01.06.2020;67;
Amur region;Far Eastern Federal District;01.06.2020;22;
Arhangelsk region;Northwestern Federal District;01.06.2020;135;
Astrakhan region;Southern Federal District;01.06.2020;131;1
Belgorod region;Central Federal District;01.06.2020;82;
Bryansk region;Central Federal District;01.06.2020;102;
Vladimir region;Central Federal District;01.06.2020;59;
Volgograd region;Southern Federal District;01.06.2020;189;1
Vologda Region;Northwestern Federal District;01.06.2020;23;
Voronezh region;Central Federal District;01.06.2020;111;
Jewish Autonomous Region;Far Eastern Federal District;01.06.2020;5;
Zabaykalsky Krai;Far Eastern Federal District;01.06.2020;39;
Ivanovo region;Central Federal District;01.06.2020;80;
Irkutsk region;Siberian Federal District;01.06.2020;229;
Kabardino-Balkarian Republic;North Caucasus Federal District;01.06.2020;76;3
Kaliningrad region;Northwestern Federal District;01.06.2020;45;
Kaluga region;Central Federal District;01.06.2020;86;
Kamchatka Krai;Far Eastern Federal District;01.06.2020;32;
Karachay-Cherkess Republic;North Caucasus Federal District;01.06.2020;70;
Kemerovo region;Siberian Federal District;01.06.2020;25;
Kirov region;Volga Federal District;01.06.2020;68;
Kostroma region;Central Federal District;01.06.2020;14;1
Krasnodar region;Southern Federal District;01.06.2020;84;1
Krasnoyarsk region;Siberian Federal District;01.06.2020;131;
Kurgan region;Ural federal district;01.06.2020;14;
Kursk region;Central Federal District;01.06.2020;63;
Leningrad region;Northwestern Federal District;01.06.2020;53;
Lipetsk region;Central Federal District;01.06.2020;71;
Magadan Region;Far Eastern Federal District;01.06.2020;3;
Moscow;Central Federal District;01.06.2020;2297;76
Moscow region;Central Federal District;01.06.2020;728;24
Murmansk region;Northwestern Federal District;01.06.2020;42;
Nenets Autonomous Okrug;Northwestern Federal District;01.06.2020;1;
Nizhny Novgorod Region;Volga Federal District;01.06.2020;315;6
Novgorod region;Northwestern Federal District;01.06.2020;72;
Novosibirsk region;Siberian Federal District;01.06.2020;105;1
Omsk region;Siberian Federal District;01.06.2020;24;
Orenburg region;Volga Federal District;01.06.2020;54;
Oryol Region;Central Federal District;01.06.2020;41;
Penza region;Volga Federal District;01.06.2020;85;
Perm region;Volga Federal District;01.06.2020;69;
Primorsky Krai;Far Eastern Federal District;01.06.2020;54;
Pskov region;Northwestern Federal District;01.06.2020;63;
Republic of Adygea;Southern Federal District;01.06.2020;20;
Altai Republic;Siberian Federal District;01.06.2020;10;
Republic of Bashkortostan;Volga Federal District;01.06.2020;77;
Republic of Buryatia;Far Eastern Federal District;01.06.2020;46;
Republic of Dagestan;North Caucasus Federal District;01.06.2020;141;25
Republic of Ingushetia;North Caucasus Federal District;01.06.2020;44;
Republic of Kalmykia;Southern Federal District;01.06.2020;20;
Republic of Karelia;Northwestern Federal District;01.06.2020;15;
Komi Republic;Northwestern Federal District;01.06.2020;30;
Republic of Crimea;Southern Federal District;01.06.2020;10;
Mari El Republic;Volga Federal District;01.06.2020;41;
The Republic of Mordovia;Volga Federal District;01.06.2020;36;
The Republic of Sakha (Yakutia);Far Eastern Federal District;01.06.2020;112;
Republic of North Ossetia - Alania;North Caucasus Federal District;01.06.2020;48;4
Republic of Tatarstan;Volga Federal District;01.06.2020;50;
Tyva Republic;Siberian Federal District;01.06.2020;60;
The Republic of Khakassia;Siberian Federal District;01.06.2020;21;
Chuvash Republic;Volga Federal District;01.06.2020;88;
Rostov region;Southern Federal District;01.06.2020;184;
Ryazan Oblast;Central Federal District;01.06.2020;73;
Samara Region;Volga Federal District;01.06.2020;36;
St. Petersburg;Northwestern Federal District;01.06.2020;364;9
Saratov region;Volga Federal District;01.06.2020;96;
Sakhalin Oblast;Far Eastern Federal District;01.06.2020;3;
Sverdlovsk region;Ural federal district;01.06.2020;283;2
Sevastopol;Southern Federal District;01.06.2020;4;
Smolensk region;Central Federal District;01.06.2020;92;3
Stavropol region;North Caucasus Federal District;01.06.2020;83;1
Tambov Region;Central Federal District;01.06.2020;64;
Tver region;Central Federal District;01.06.2020;46;
Tomsk region;Siberian Federal District;01.06.2020;28;
Tula region;Central Federal District;01.06.2020;113;
Tyumen region;Ural federal district;01.06.2020;23;
Udmurtia;Volga Federal District;01.06.2020;30;
Ulyanovsk region;Volga Federal District;01.06.2020;101;
Khabarovsk region;Far Eastern Federal District;01.06.2020;61;1
Khanty-Mansi Autonomous Okrug;Ural federal district;01.06.2020;151;
Chelyabinsk region;Ural federal district;01.06.2020;134;2
Chechen Republic;North Caucasus Federal District;01.06.2020;20;
Chukotka Autonomous Okrug;Far Eastern Federal District;01.06.2020;;
Yamal-Nenets Autonomous Okrug;Ural federal district;01.06.2020;40;1
Yaroslavskaya oblast;Central Federal District;01.06.2020;78;
Altai region;Siberian Federal District;02.06.2020;70;
Amur region;Far Eastern Federal District;02.06.2020;18;
Arhangelsk region;Northwestern Federal District;02.06.2020;56;2
Astrakhan region;Southern Federal District;02.06.2020;54;3
Belgorod region;Central Federal District;02.06.2020;79;1
Bryansk region;Central Federal District;02.06.2020;98;
Vladimir region;Central Federal District;02.06.2020;62;3
Volgograd region;Southern Federal District;02.06.2020;119;
Vologda Region;Northwestern Federal District;02.06.2020;27;
Voronezh region;Central Federal District;02.06.2020;95;1
Jewish Autonomous Region;Far Eastern Federal District;02.06.2020;;
Zabaykalsky Krai;Far Eastern Federal District;02.06.2020;29;1
Ivanovo region;Central Federal District;02.06.2020;83;
Irkutsk region;Siberian Federal District;02.06.2020;210;2
Kabardino-Balkarian Republic;North Caucasus Federal District;02.06.2020;75;1
Kaliningrad region;Northwestern Federal District;02.06.2020;54;
Kaluga region;Central Federal District;02.06.2020;83;1
Kamchatka Krai;Far Eastern Federal District;02.06.2020;35;
Karachay-Cherkess Republic;North Caucasus Federal District;02.06.2020;67;
Kemerovo region;Siberian Federal District;02.06.2020;44;
Kirov region;Volga Federal District;02.06.2020;77;
Kostroma region;Central Federal District;02.06.2020;32;
Krasnodar region;Southern Federal District;02.06.2020;79;3
Krasnoyarsk region;Siberian Federal District;02.06.2020;150;1
Kurgan region;Ural federal district;02.06.2020;7;
Kursk region;Central Federal District;02.06.2020;60;
Leningrad region;Northwestern Federal District;02.06.2020;53;4
Lipetsk region;Central Federal District;02.06.2020;67;
Magadan Region;Far Eastern Federal District;02.06.2020;2;
Moscow;Central Federal District;02.06.2020;2286;71
Moscow region;Central Federal District;02.06.2020;732;22
Murmansk region;Northwestern Federal District;02.06.2020;32;
Nenets Autonomous Okrug;Northwestern Federal District;02.06.2020;1;
Nizhny Novgorod Region;Volga Federal District;02.06.2020;354;7
Novgorod region;Northwestern Federal District;02.06.2020;77;
Novosibirsk region;Siberian Federal District;02.06.2020;106;1
Omsk region;Siberian Federal District;02.06.2020;26;
Orenburg region;Volga Federal District;02.06.2020;53;1
Oryol Region;Central Federal District;02.06.2020;31;1
Penza region;Volga Federal District;02.06.2020;85;1
Perm region;Volga Federal District;02.06.2020;57;2
Primorsky Krai;Far Eastern Federal District;02.06.2020;54;
Pskov region;Northwestern Federal District;02.06.2020;23;
Republic of Adygea;Southern Federal District;02.06.2020;16;
Altai Republic;Siberian Federal District;02.06.2020;1;
Republic of Bashkortostan;Volga Federal District;02.06.2020;72;
Republic of Buryatia;Far Eastern Federal District;02.06.2020;50;
Republic of Dagestan;North Caucasus Federal District;02.06.2020;132;11
Republic of Ingushetia;North Caucasus Federal District;02.06.2020;37;2
Republic of Kalmykia;Southern Federal District;02.06.2020;11;
Republic of Karelia;Northwestern Federal District;02.06.2020;8;
Komi Republic;Northwestern Federal District;02.06.2020;41;
Republic of Crimea;Southern Federal District;02.06.2020;2;
Mari El Republic;Volga Federal District;02.06.2020;39;
The Republic of Mordovia;Volga Federal District;02.06.2020;39;1
The Republic of Sakha (Yakutia);Far Eastern Federal District;02.06.2020;74;
Republic of North Ossetia - Alania;North Caucasus Federal District;02.06.2020;50;6
Republic of Tatarstan;Volga Federal District;02.06.2020;53;
Tyva Republic;Siberian Federal District;02.06.2020;46;
The Republic of Khakassia;Siberian Federal District;02.06.2020;35;
Chuvash Republic;Volga Federal District;02.06.2020;88;
Rostov region;Southern Federal District;02.06.2020;253;2
Ryazan Oblast;Central Federal District;02.06.2020;72;2
Samara Region;Volga Federal District;02.06.2020;76;2
St. Petersburg;Northwestern Federal District;02.06.2020;376;10
Saratov region;Volga Federal District;02.06.2020;95;
Sakhalin Oblast;Far Eastern Federal District;02.06.2020;15;
Sverdlovsk region;Ural federal district;02.06.2020;292;2
Sevastopol;Southern Federal District;02.06.2020;3;
Smolensk region;Central Federal District;02.06.2020;110;2
Stavropol region;North Caucasus Federal District;02.06.2020;85;
Tambov Region;Central Federal District;02.06.2020;63;1
Tver region;Central Federal District;02.06.2020;45;6
Tomsk region;Siberian Federal District;02.06.2020;23;
Tula region;Central Federal District;02.06.2020;106;3
Tyumen region;Ural federal district;02.06.2020;41;
Udmurtia;Volga Federal District;02.06.2020;35;
Ulyanovsk region;Volga Federal District;02.06.2020;105;2
Khabarovsk region;Far Eastern Federal District;02.06.2020;67;
Khanty-Mansi Autonomous Okrug;Ural federal district;02.06.2020;149;
Chelyabinsk region;Ural federal district;02.06.2020;113;1
Chechen Republic;North Caucasus Federal District;02.06.2020;17;
Chukotka Autonomous Okrug;Far Eastern Federal District;02.06.2020;1;
Yamal-Nenets Autonomous Okrug;Ural federal district;02.06.2020;51;
Yaroslavskaya oblast;Central Federal District;02.06.2020;74;
Altai region;Siberian Federal District;03.06.2020;81;
Amur region;Far Eastern Federal District;03.06.2020;20;
Arhangelsk region;Northwestern Federal District;03.06.2020;239;
Astrakhan region;Southern Federal District;03.06.2020;67;
Belgorod region;Central Federal District;03.06.2020;77;2
Bryansk region;Central Federal District;03.06.2020;97;
Vladimir region;Central Federal District;03.06.2020;56;3
Volgograd region;Southern Federal District;03.06.2020;98;
Vologda Region;Northwestern Federal District;03.06.2020;19;4
Voronezh region;Central Federal District;03.06.2020;127;
Jewish Autonomous Region;Far Eastern Federal District;03.06.2020;3;1
Zabaykalsky Krai;Far Eastern Federal District;03.06.2020;53;1
Ivanovo region;Central Federal District;03.06.2020;65;
Irkutsk region;Siberian Federal District;03.06.2020;120;1
Kabardino-Balkarian Republic;North Caucasus Federal District;03.06.2020;74;2
Kaliningrad region;Northwestern Federal District;03.06.2020;35;
Kaluga region;Central Federal District;03.06.2020;87;2
Kamchatka Krai;Far Eastern Federal District;03.06.2020;33;
Karachay-Cherkess Republic;North Caucasus Federal District;03.06.2020;72;
Kemerovo region;Siberian Federal District;03.06.2020;27;
Kirov region;Volga Federal District;03.06.2020;76;
Kostroma region;Central Federal District;03.06.2020;21;
Krasnodar region;Southern Federal District;03.06.2020;81;2
Krasnoyarsk region;Siberian Federal District;03.06.2020;124;3
Kurgan region;Ural federal district;03.06.2020;3;
Kursk region;Central Federal District;03.06.2020;76;
Leningrad region;Northwestern Federal District;03.06.2020;54;
Lipetsk region;Central Federal District;03.06.2020;65;1
Magadan Region;Far Eastern Federal District;03.06.2020;12;
Moscow;Central Federal District;03.06.2020;1842;61
Moscow region;Central Federal District;03.06.2020;736;20
Murmansk region;Northwestern Federal District;03.06.2020;46;
Nenets Autonomous Okrug;Northwestern Federal District;03.06.2020;;
Nizhny Novgorod Region;Volga Federal District;03.06.2020;347;5
Novgorod region;Northwestern Federal District;03.06.2020;63;
Novosibirsk region;Siberian Federal District;03.06.2020;102;
Omsk region;Siberian Federal District;03.06.2020;45;
Orenburg region;Volga Federal District;03.06.2020;53;1
Oryol Region;Central Federal District;03.06.2020;71;1
Penza region;Volga Federal District;03.06.2020;83;2
Perm region;Volga Federal District;03.06.2020;72;
Primorsky Krai;Far Eastern Federal District;03.06.2020;52;
Pskov region;Northwestern Federal District;03.06.2020;44;
Republic of Adygea;Southern Federal District;03.06.2020;14;
Altai Republic;Siberian Federal District;03.06.2020;5;
Republic of Bashkortostan;Volga Federal District;03.06.2020;92;
Republic of Buryatia;Far Eastern Federal District;03.06.2020;24;
Republic of Dagestan;North Caucasus Federal District;03.06.2020;113;16
Republic of Ingushetia;North Caucasus Federal District;03.06.2020;33;6
Republic of Kalmykia;Southern Federal District;03.06.2020;23;1
Republic of Karelia;Northwestern Federal District;03.06.2020;43;1
Komi Republic;Northwestern Federal District;03.06.2020;33;1
Republic of Crimea;Southern Federal District;03.06.2020;5;1
Mari El Republic;Volga Federal District;03.06.2020;40;
The Republic of Mordovia;Volga Federal District;03.06.2020;42;1
The Republic of Sakha (Yakutia);Far Eastern Federal District;03.06.2020;98;1
Republic of North Ossetia - Alania;North Caucasus Federal District;03.06.2020;49;1
Republic of Tatarstan;Volga Federal District;03.06.2020;54;
Tyva Republic;Siberian Federal District;03.06.2020;60;
The Republic of Khakassia;Siberian Federal District;03.06.2020;32;
Chuvash Republic;Volga Federal District;03.06.2020;87;
Rostov region;Southern Federal District;03.06.2020;178;
Ryazan Oblast;Central Federal District;03.06.2020;75;
Samara Region;Volga Federal District;03.06.2020;46;1
St. Petersburg;Northwestern Federal District;03.06.2020;380;17
Saratov region;Volga Federal District;03.06.2020;94;
Sakhalin Oblast;Far Eastern Federal District;03.06.2020;10;
Sverdlovsk region;Ural federal district;03.06.2020;357;2
Sevastopol;Southern Federal District;03.06.2020;2;
Smolensk region;Central Federal District;03.06.2020;127;
Stavropol region;North Caucasus Federal District;03.06.2020;80;3
Tambov Region;Central Federal District;03.06.2020;65;
Tver region;Central Federal District;03.06.2020;36;5
Tomsk region;Siberian Federal District;03.06.2020;26;
Tula region;Central Federal District;03.06.2020;109;3
Tyumen region;Ural federal district;03.06.2020;47;
Udmurtia;Volga Federal District;03.06.2020;53;
Ulyanovsk region;Volga Federal District;03.06.2020;98;2
Khabarovsk region;Far Eastern Federal District;03.06.2020;64;1
Khanty-Mansi Autonomous Okrug;Ural federal district;03.06.2020;111;
Chelyabinsk region;Ural federal district;03.06.2020;108;1
Chechen Republic;North Caucasus Federal District;03.06.2020;14;1
Chukotka Autonomous Okrug;Far Eastern Federal District;03.06.2020;6;
Yamal-Nenets Autonomous Okrug;Ural federal district;03.06.2020;13;1
Yaroslavskaya oblast;Central Federal District;03.06.2020;72;
Altai region;Siberian Federal District;04.06.2020;69;
Amur region;Far Eastern Federal District;04.06.2020;22;
Arhangelsk region;Northwestern Federal District;04.06.2020;133;1
Astrakhan region;Southern Federal District;04.06.2020;93;
Belgorod region;Central Federal District;04.06.2020;76;
Bryansk region;Central Federal District;04.06.2020;96;
Vladimir region;Central Federal District;04.06.2020;55;
Volgograd region;Southern Federal District;04.06.2020;109;1
Vologda Region;Northwestern Federal District;04.06.2020;20;
Voronezh region;Central Federal District;04.06.2020;105;
Jewish Autonomous Region;Far Eastern Federal District;04.06.2020;6;
Zabaykalsky Krai;Far Eastern Federal District;04.06.2020;39;2
Ivanovo region;Central Federal District;04.06.2020;117;2
Irkutsk region;Siberian Federal District;04.06.2020;138;1
Kabardino-Balkarian Republic;North Caucasus Federal District;04.06.2020;74;2
Kaliningrad region;Northwestern Federal District;04.06.2020;23;
Kaluga region;Central Federal District;04.06.2020;91;
Kamchatka Krai;Far Eastern Federal District;04.06.2020;35;
Karachay-Cherkess Republic;North Caucasus Federal District;04.06.2020;78;2
Kemerovo region;Siberian Federal District;04.06.2020;22;
Kirov region;Volga Federal District;04.06.2020;63;
Kostroma region;Central Federal District;04.06.2020;17;
Krasnodar region;Southern Federal District;04.06.2020;80;2
Krasnoyarsk region;Siberian Federal District;04.06.2020;141;3
Kurgan region;Ural federal district;04.06.2020;4;
Kursk region;Central Federal District;04.06.2020;73;2
Leningrad region;Northwestern Federal District;04.06.2020;52;
Lipetsk region;Central Federal District;04.06.2020;62;1
Magadan Region;Far Eastern Federal District;04.06.2020;11;
Moscow;Central Federal District;04.06.2020;1998;64
Moscow region;Central Federal District;04.06.2020;767;19
Murmansk region;Northwestern Federal District;04.06.2020;33;
Nenets Autonomous Okrug;Northwestern Federal District;04.06.2020;1;
Nizhny Novgorod Region;Volga Federal District;04.06.2020;319;6
Novgorod region;Northwestern Federal District;04.06.2020;53;
Novosibirsk region;Siberian Federal District;04.06.2020;104;2
Omsk region;Siberian Federal District;04.06.2020;58;
Orenburg region;Volga Federal District;04.06.2020;56;
Oryol Region;Central Federal District;04.06.2020;85;1
Penza region;Volga Federal District;04.06.2020;84;2
Perm region;Volga Federal District;04.06.2020;51;4
Primorsky Krai;Far Eastern Federal District;04.06.2020;56;2
Pskov region;Northwestern Federal District;04.06.2020;112;
Republic of Adygea;Southern Federal District;04.06.2020;33;
Altai Republic;Siberian Federal District;04.06.2020;16;
Republic of Bashkortostan;Volga Federal District;04.06.2020;107;
Republic of Buryatia;Far Eastern Federal District;04.06.2020;46;
Republic of Dagestan;North Caucasus Federal District;04.06.2020;122;
Republic of Ingushetia;North Caucasus Federal District;04.06.2020;31;2
Republic of Kalmykia;Southern Federal District;04.06.2020;19;
Republic of Karelia;Northwestern Federal District;04.06.2020;24;
Komi Republic;Northwestern Federal District;04.06.2020;29;
Republic of Crimea;Southern Federal District;04.06.2020;7;1
Mari El Republic;Volga Federal District;04.06.2020;39;
The Republic of Mordovia;Volga Federal District;04.06.2020;39;
The Republic of Sakha (Yakutia);Far Eastern Federal District;04.06.2020;94;2
Republic of North Ossetia - Alania;North Caucasus Federal District;04.06.2020;47;
Republic of Tatarstan;Volga Federal District;04.06.2020;51;
Tyva Republic;Siberian Federal District;04.06.2020;76;
The Republic of Khakassia;Siberian Federal District;04.06.2020;25;
Chuvash Republic;Volga Federal District;04.06.2020;83;1
Rostov region;Southern Federal District;04.06.2020;184;3
Ryazan Oblast;Central Federal District;04.06.2020;73;1
Samara Region;Volga Federal District;04.06.2020;63;
St. Petersburg;Northwestern Federal District;04.06.2020;375;24
Saratov region;Volga Federal District;04.06.2020;94;1
Sakhalin Oblast;Far Eastern Federal District;04.06.2020;4;
Sverdlovsk region;Ural federal district;04.06.2020;298;2
Sevastopol;Southern Federal District;04.06.2020;1;
Smolensk region;Central Federal District;04.06.2020;142;
Stavropol region;North Caucasus Federal District;04.06.2020;86;3
Tambov Region;Central Federal District;04.06.2020;67;
Tver region;Central Federal District;04.06.2020;73;4
Tomsk region;Siberian Federal District;04.06.2020;32;
Tula region;Central Federal District;04.06.2020;110;2
Tyumen region;Ural federal district;04.06.2020;49;1
Udmurtia;Volga Federal District;04.06.2020;52;
Ulyanovsk region;Volga Federal District;04.06.2020;100;
Khabarovsk region;Far Eastern Federal District;04.06.2020;60;1
Khanty-Mansi Autonomous Okrug;Ural federal district;04.06.2020;140;
Chelyabinsk region;Ural federal district;04.06.2020;113;1
Chechen Republic;North Caucasus Federal District;04.06.2020;13;
Chukotka Autonomous Okrug;Far Eastern Federal District;04.06.2020;4;
Yamal-Nenets Autonomous Okrug;Ural federal district;04.06.2020;55;
Yaroslavskaya oblast;Central Federal District;04.06.2020;74;1
Altai region;Siberian Federal District;05.06.2020;57;1
Amur region;Far Eastern Federal District;05.06.2020;27;
Arhangelsk region;Northwestern Federal District;05.06.2020;125;1
Astrakhan region;Southern Federal District;05.06.2020;75;1
Belgorod region;Central Federal District;05.06.2020;71;
Bryansk region;Central Federal District;05.06.2020;96;
Vladimir region;Central Federal District;05.06.2020;58;3
Volgograd region;Southern Federal District;05.06.2020;128;
Vologda Region;Northwestern Federal District;05.06.2020;17;
Voronezh region;Central Federal District;05.06.2020;126;
Jewish Autonomous Region;Far Eastern Federal District;05.06.2020;6;
Zabaykalsky Krai;Far Eastern Federal District;05.06.2020;64;2
Ivanovo region;Central Federal District;05.06.2020;125;
Irkutsk region;Siberian Federal District;05.06.2020;95;1
Kabardino-Balkarian Republic;North Caucasus Federal District;05.06.2020;73;2
Kaliningrad region;Northwestern Federal District;05.06.2020;35;
Kaluga region;Central Federal District;05.06.2020;87;
Kamchatka Krai;Far Eastern Federal District;05.06.2020;49;2
Karachay-Cherkess Republic;North Caucasus Federal District;05.06.2020;76;
Kemerovo region;Siberian Federal District;05.06.2020;28;
Kirov region;Volga Federal District;05.06.2020;75;1
Kostroma region;Central Federal District;05.06.2020;20;
Krasnodar region;Southern Federal District;05.06.2020;83;1
Krasnoyarsk region;Siberian Federal District;05.06.2020;173;3
Kurgan region;Ural federal district;05.06.2020;9;
Kursk region;Central Federal District;05.06.2020;85;
Leningrad region;Northwestern Federal District;05.06.2020;52;2
Lipetsk region;Central Federal District;05.06.2020;64;
Magadan Region;Far Eastern Federal District;05.06.2020;15;
Moscow;Central Federal District;05.06.2020;1855;57
Moscow region;Central Federal District;05.06.2020;762;5
Murmansk region;Northwestern Federal District;05.06.2020;47;
Nenets Autonomous Okrug;Northwestern Federal District;05.06.2020;5;
Nizhny Novgorod Region;Volga Federal District;05.06.2020;330;3
Novgorod region;Northwestern Federal District;05.06.2020;42;1
Novosibirsk region;Siberian Federal District;05.06.2020;108;2
Omsk region;Siberian Federal District;05.06.2020;55;
Orenburg region;Volga Federal District;05.06.2020;63;
Oryol Region;Central Federal District;05.06.2020;121;3
Penza region;Volga Federal District;05.06.2020;90;2
Perm region;Volga Federal District;05.06.2020;49;1
Primorsky Krai;Far Eastern Federal District;05.06.2020;51;1
Pskov region;Northwestern Federal District;05.06.2020;65;1
Republic of Adygea;Southern Federal District;05.06.2020;25;
Altai Republic;Siberian Federal District;05.06.2020;2;
Republic of Bashkortostan;Volga Federal District;05.06.2020;119;
Republic of Buryatia;Far Eastern Federal District;05.06.2020;48;
Republic of Dagestan;North Caucasus Federal District;05.06.2020;124;1
Republic of Ingushetia;North Caucasus Federal District;05.06.2020;40;1
Republic of Kalmykia;Southern Federal District;05.06.2020;9;
Republic of Karelia;Northwestern Federal District;05.06.2020;28;
Komi Republic;Northwestern Federal District;05.06.2020;25;
Republic of Crimea;Southern Federal District;05.06.2020;6;
Mari El Republic;Volga Federal District;05.06.2020;42;1
The Republic of Mordovia;Volga Federal District;05.06.2020;47;1
